text,label
"if this disposable tissue has one wild card , it's john turturro , who's simply fab as a spanish butler with a foot fetish .",0
some like it hot on the hardwood proves once again that a man in drag is not in and of himself funny .,0
"[ "" safe conduct "" ] is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage . viva le resistance !",1
i'm just too bored to care .,0
an unbelievably fun film just a leading man away from perfection .,1
the attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .,0
"watching this film , what we feel isn't mainly suspense or excitement . the dominant feeling is something like nostalgia .",1
"[i]t's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop isn't as funny as it should be .",0
"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",1
the ring just left me cold and wet like i was out in the seattle drizzle without rainwear .,0
unfolds in a series of achronological vignettes whose cumulative effect is chilling .,1
"the animation and game phenomenon that peaked about three years ago is actually dying a slow death , if the poor quality of pokemon 4 ever is any indication .",0
"kids five and up will be delighted with the fast , funny , and even touching story . parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",1
"human resources was a good , straightforward tale , but time out is better . it's haunting . it's like a poem .",1
"this cinema verite speculation on the assassination of john f . kennedy may have been inspired by blair witch , but it takes its techniques into such fresh territory that the film never feels derivative .",1
"well-nigh unendurable . . . though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull .",0
"perhaps the grossest movie ever made . funny , though .",1
the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs .,1
"halloween : resurrection isn't exactly quality cinema , but it isn't nearly as terrible as it cold have been .",1
reign of fire looks as if it was made without much thought -- and is best watched that way .,1
"[javier bardem is] one of the few reasons to watch the film , which director gerardo vera has drenched in swoony music and fever-pitched melodrama .",0
"all the amped-up tony hawk-style stunts and thrashing rap-metal can't disguise the fact that , really , we've been here , done that .",0
has a solid emotional impact .,1
earnest yet curiously tepid and choppy recycling in which predictability is the only winner .,0
it's both a necessary political work and a fascinating documentary . . .,1
